layout,gset,dset,pmethod,n_process,time
DGZ,1,8,sweep,1,15.38
DGZ,1,8,bj,1,15.40
DGZ,1,16,sweep,1,15.38
DGZ,1,16,bj,1,15.45
DGZ,2,8,sweep,1,15.18
DGZ,2,8,bj,1,15.37
DGZ,2,16,sweep,1,15.32
DGZ,2,16,bj,1,15.39
DGZ,4,8,sweep,1,13.85
DGZ,4,8,bj,1,14.51
DGZ,4,16,sweep,1,13.81
DGZ,4,16,bj,1,14.90
DGZ,8,8,sweep,1,13.84
DGZ,8,8,bj,1,14.95
DGZ,8,16,sweep,1,14.11
DGZ,8,16,bj,1,16.53
DGZ,16,8,sweep,1,14.07
DGZ,16,8,bj,1,16.45
DGZ,16,16,sweep,1,14.12
DGZ,16,16,bj,1,17.70
DZG,1,8,sweep,1,16.39
DZG,1,8,bj,1,16.15
DZG,1,16,sweep,1,16.40
DZG,1,16,bj,1,16.64
DZG,2,8,sweep,1,17.16
DZG,2,8,bj,1,17.30
DZG,2,16,sweep,1,17.22
DZG,2,16,bj,1,17.33
DZG,4,8,sweep,1,17.74
DZG,4,8,bj,1,17.76
DZG,4,16,sweep,1,16.25
DZG,4,16,bj,1,17.12
DZG,8,8,sweep,1,20.27
DZG,8,8,bj,1,20.61
DZG,8,16,sweep,1,20.50
DZG,8,16,bj,1,21.71
DZG,16,8,sweep,1,23.23
DZG,16,8,bj,1,23.60
DZG,16,16,sweep,1,23.20
DZG,16,16,bj,1,23.66
DGZ,1,8,sweep,2,7.54
DGZ,1,8,bj,2,6.88
DGZ,1,16,sweep,2,4.44
DGZ,1,16,bj,2,4.41
DGZ,2,8,sweep,2,4.15
DGZ,2,8,bj,2,4.42
DGZ,2,16,sweep,2,4.10
DGZ,2,16,bj,2,3.69
DGZ,4,8,sweep,2,4.18
DGZ,4,8,bj,2,4.13
DGZ,4,16,sweep,2,3.84
DGZ,4,16,bj,2,4.23
DGZ,8,8,sweep,2,4.26
DGZ,8,8,bj,2,4.23
DGZ,8,16,sweep,2,2.95
DGZ,8,16,bj,2,4.28
DGZ,16,8,sweep,2,4.23
DGZ,16,8,bj,2,4.96
DGZ,16,16,sweep,2,4.56
DGZ,16,16,bj,2,5.09
DZG,1,8,sweep,2,4.70
DZG,1,8,bj,2,5.06
DZG,1,16,sweep,2,5.05
DZG,1,16,bj,2,4.61
DZG,2,8,sweep,2,4.98
DZG,2,8,bj,2,5.00
DZG,2,16,sweep,2,4.51
DZG,2,16,bj,2,5.11
DZG,4,8,sweep,2,5.16
DZG,4,8,bj,2,5.17
DZG,4,16,sweep,2,5.39
DZG,4,16,bj,2,6.89
DZG,8,8,sweep,2,7.61
DZG,8,8,bj,2,7.80
DZG,8,16,sweep,2,7.93
DZG,8,16,bj,2,8.18
DZG,16,8,sweep,2,8.23
DZG,16,8,bj,2,5.27
DZG,16,16,sweep,2,5.05
DZG,16,16,bj,2,5.31
DGZ,1,8,sweep,4,1.07
DGZ,1,8,bj,4,1.06
DGZ,1,16,sweep,4,0.91
DGZ,1,16,bj,4,0.89
DGZ,2,8,sweep,4,0.89
DGZ,2,8,bj,4,0.89
DGZ,2,16,sweep,4,0.88
DGZ,2,16,bj,4,0.91
DGZ,4,8,sweep,4,0.90
DGZ,4,8,bj,4,0.93
DGZ,4,16,sweep,4,0.91
DGZ,4,16,bj,4,1.00
DGZ,8,8,sweep,4,0.96
DGZ,8,8,bj,4,0.99
DGZ,8,16,sweep,4,0.94
DGZ,8,16,bj,4,1.06
DGZ,16,8,sweep,4,0.95
DGZ,16,8,bj,4,1.02
DGZ,16,16,sweep,4,0.88
DGZ,16,16,bj,4,1.15
DZG,1,8,sweep,4,0.97
DZG,1,8,bj,4,0.99
DZG,1,16,sweep,4,0.98
DZG,1,16,bj,4,0.97
DZG,2,8,sweep,4,1.02
DZG,2,8,bj,4,1.04
DZG,2,16,sweep,4,1.04
DZG,2,16,bj,4,1.06
DZG,4,8,sweep,4,1.11
DZG,4,8,bj,4,1.10
DZG,4,16,sweep,4,1.07
DZG,4,16,bj,4,1.13
DZG,8,8,sweep,4,1.28
DZG,8,8,bj,4,1.34
DZG,8,16,sweep,4,1.30
DZG,8,16,bj,4,1.37
DZG,16,8,sweep,4,1.46
DZG,16,8,bj,4,1.56
DZG,16,16,sweep,4,1.39
DZG,16,16,bj,4,1.60
