layout,gset,dset,pmethod,n_process,time
DGZ,1,8,sweep,1,15.35
DGZ,1,8,bj,1,15.39
DGZ,1,16,sweep,1,15.35
DGZ,1,16,bj,1,15.41
DGZ,2,8,sweep,1,15.28
DGZ,2,8,bj,1,15.33
DGZ,2,16,sweep,1,14.97
DGZ,2,16,bj,1,15.39
DGZ,4,8,sweep,1,13.90
DGZ,4,8,bj,1,14.54
DGZ,4,16,sweep,1,14.07
DGZ,4,16,bj,1,15.04
DGZ,8,8,sweep,1,13.94
DGZ,8,8,bj,1,14.71
DGZ,8,16,sweep,1,13.97
DGZ,8,16,bj,1,16.39
DGZ,16,8,sweep,1,13.86
DGZ,16,8,bj,1,15.87
DGZ,16,16,sweep,1,13.93
DGZ,16,16,bj,1,17.57
DZG,1,8,sweep,1,16.24
DZG,1,8,bj,1,16.25
DZG,1,16,sweep,1,16.25
DZG,1,16,bj,1,16.44
DZG,2,8,sweep,1,17.00
DZG,2,8,bj,1,17.24
DZG,2,16,sweep,1,17.07
DZG,2,16,bj,1,17.40
DZG,4,8,sweep,1,17.62
DZG,4,8,bj,1,17.64
DZG,4,16,sweep,1,16.50
DZG,4,16,bj,1,17.29
DZG,8,8,sweep,1,20.78
DZG,8,8,bj,1,21.37
DZG,8,16,sweep,1,20.82
DZG,8,16,bj,1,21.85
DZG,16,8,sweep,1,23.62
DZG,16,8,bj,1,24.01
DZG,16,16,sweep,1,23.60
DZG,16,16,bj,1,24.06
DGZ,1,8,sweep,2,7.54
DGZ,1,8,bj,2,7.61
DGZ,1,16,sweep,2,4.49
DGZ,1,16,bj,2,4.50
DGZ,2,8,sweep,2,4.52
DGZ,2,8,bj,2,4.53
DGZ,2,16,sweep,2,4.21
DGZ,2,16,bj,2,4.45
DGZ,4,8,sweep,2,4.21
DGZ,4,8,bj,2,4.25
DGZ,4,16,sweep,2,4.19
DGZ,4,16,bj,2,4.37
DGZ,8,8,sweep,2,4.28
DGZ,8,8,bj,2,4.40
DGZ,8,16,sweep,2,4.41
DGZ,8,16,bj,2,4.16
DGZ,16,8,sweep,2,4.20
DGZ,16,8,bj,2,4.67
DGZ,16,16,sweep,2,4.58
DGZ,16,16,bj,2,4.87
DZG,1,8,sweep,2,4.64
DZG,1,8,bj,2,4.64
DZG,1,16,sweep,2,4.82
DZG,1,16,bj,2,4.82
DZG,2,8,sweep,2,4.86
DZG,2,8,bj,2,4.84
DZG,2,16,sweep,2,4.45
DZG,2,16,bj,2,4.93
DZG,4,8,sweep,2,5.08
DZG,4,8,bj,2,5.09
DZG,4,16,sweep,2,5.88
DZG,4,16,bj,2,6.01
DZG,8,8,sweep,2,7.53
DZG,8,8,bj,2,7.65
DZG,8,16,sweep,2,7.44
DZG,8,16,bj,2,7.81
DZG,16,8,sweep,2,7.86
DZG,16,8,bj,2,5.13
DZG,16,16,sweep,2,4.99
DZG,16,16,bj,2,5.19
DGZ,1,8,sweep,4,0.97
DGZ,1,8,bj,4,0.95
DGZ,1,16,sweep,4,0.90
DGZ,1,16,bj,4,0.90
DGZ,2,8,sweep,4,0.87
DGZ,2,8,bj,4,0.85
DGZ,2,16,sweep,4,0.85
DGZ,2,16,bj,4,0.88
DGZ,4,8,sweep,4,0.88
DGZ,4,8,bj,4,0.91
DGZ,4,16,sweep,4,0.87
DGZ,4,16,bj,4,0.95
DGZ,8,8,sweep,4,0.87
DGZ,8,8,bj,4,0.94
DGZ,8,16,sweep,4,0.87
DGZ,8,16,bj,4,0.99
DGZ,16,8,sweep,4,0.86
DGZ,16,8,bj,4,0.99
DGZ,16,16,sweep,4,0.86
DGZ,16,16,bj,4,1.12
DZG,1,8,sweep,4,0.89
DZG,1,8,bj,4,0.89
DZG,1,16,sweep,4,0.89
DZG,1,16,bj,4,0.90
DZG,2,8,sweep,4,0.95
DZG,2,8,bj,4,0.97
DZG,2,16,sweep,4,0.94
DZG,2,16,bj,4,0.95
DZG,4,8,sweep,4,1.00
DZG,4,8,bj,4,1.02
DZG,4,16,sweep,4,1.02
DZG,4,16,bj,4,1.07
DZG,8,8,sweep,4,1.22
DZG,8,8,bj,4,1.27
DZG,8,16,sweep,4,1.22
DZG,8,16,bj,4,1.32
DZG,16,8,sweep,4,1.38
DZG,16,8,bj,4,1.52
DZG,16,16,sweep,4,1.31
DZG,16,16,bj,4,1.52
