layout,gset,dset,pmethod,n_process,time
0,16,8,1,64,3.95
0,16,8,1,128,2.88
0,16,8,0,1,144.91
0,16,8,0,2,75.41
0,16,8,0,4,37.09
0,16,8,0,8,20.94
0,16,8,0,16,13.41
0,16,8,0,32,10.6
0,16,8,0,64,7.87
0,16,8,0,128,6.73
0,16,16,1,1,132.68
0,16,16,1,2,67.79
0,16,16,1,4,33.53
0,16,16,1,8,17.77
0,16,16,1,16,9.32
0,16,16,1,32,5.86
0,16,16,1,64,3.7
0,16,16,1,128,2.82
0,16,16,0,1,154.12
0,16,16,0,2,82.59
0,16,16,0,4,41.22
0,16,16,0,8,24.89
0,16,16,0,16,18.55
0,16,16,0,32,15.96
0,16,16,0,64,12.52
0,16,16,0,128,11.06
0,16,32,1,1,131.94
0,16,32,1,2,68.74
0,16,32,1,4,33.52
0,16,32,1,8,18.1
0,16,32,1,16,9.49
0,16,32,1,32,5.83
0,16,32,1,64,3.8
0,16,32,1,128,2.95
0,16,32,0,1,178.49
0,16,32,0,2,98.13
0,16,32,0,4,50.57
0,16,32,0,8,33.09
0,16,32,0,16,28.43
0,16,32,0,32,27.2
0,16,32,0,64,23.26
0,16,32,0,128,20.36
0,32,8,1,1,123.38
0,32,8,1,2,64.57
0,32,8,1,4,32.62
0,32,8,1,8,16.67
0,32,8,1,16,9.4
0,32,8,1,32,5.72
0,32,8,1,64,3.74
0,32,8,1,128,2.96
0,32,8,0,1,147.14
0,32,8,0,2,78.85
0,32,8,0,4,40.9
0,32,8,0,8,23.54
0,32,8,0,16,18.47
0,32,8,0,32,15.9
0,32,8,0,64,12.5
0,32,8,0,128,10.93
0,32,16,1,1,124.82
0,32,16,1,2,65.12
0,32,16,1,4,33.24
0,32,16,1,8,16.86
0,32,16,1,16,9.92
0,32,16,1,32,5.64
0,32,16,1,64,4.24
0,32,16,1,128,3.07
0,32,16,0,1,176.83
0,32,16,0,2,96.04
0,32,16,0,4,50.17
0,32,16,0,8,32.28
0,32,16,0,16,28.67
0,32,16,0,32,27.17
0,32,16,0,64,22.51
0,32,16,0,128,19.96
0,32,32,1,1,129.03
0,32,32,1,2,67.16
0,32,32,1,4,33.89
0,32,32,1,8,17.1
0,32,32,1,16,9.27
0,32,32,1,32,5.84
