layout,gset,dset,pmethod,n_process,time
DGZ,8,8,sweep,64,3.75
DGZ,8,8,sweep,128,3.43
DGZ,8,8,bj,1,143.81
DGZ,8,8,bj,2,75.61
DGZ,8,8,bj,4,37.13
DGZ,8,8,bj,8,20.26
DGZ,8,8,bj,16,12.46
DGZ,8,8,bj,32,8.61
DGZ,8,8,bj,64,5.72
DGZ,8,8,bj,128,4.96
DGZ,8,16,sweep,1,133.70
DGZ,8,16,sweep,2,69.47
DGZ,8,16,sweep,4,35.62
DGZ,8,16,sweep,8,18.74
DGZ,8,16,sweep,16,10.42
DGZ,8,16,sweep,32,6.13
DGZ,8,16,sweep,64,3.79
DGZ,8,16,sweep,128,2.96
DGZ,8,16,bj,1,146.59
DGZ,8,16,bj,2,76.41
DGZ,8,16,bj,4,39.15
DGZ,8,16,bj,8,22.09
DGZ,8,16,bj,16,14.76
DGZ,8,16,bj,32,11.32
DGZ,8,16,bj,64,7.85
DGZ,8,16,bj,128,6.76
DGZ,8,32,sweep,1,132.07
DGZ,8,32,sweep,2,68.75
DGZ,8,32,sweep,4,36.09
DGZ,8,32,sweep,8,18.81
DGZ,8,32,sweep,16,11.12
DGZ,8,32,sweep,32,6.63
DGZ,8,32,sweep,64,3.69
DGZ,8,32,sweep,128,3.17
DGZ,8,32,bj,1,154.73
DGZ,8,32,bj,2,82.83
DGZ,8,32,bj,4,43.19
DGZ,8,32,bj,8,26.14
DGZ,8,32,bj,16,20.11
DGZ,8,32,bj,32,17.32
DGZ,8,32,bj,64,12.62
DGZ,8,32,bj,128,10.91
DGZ,16,8,sweep,1,131.40
DGZ,16,8,sweep,2,68.49
DGZ,16,8,sweep,4,32.98
DGZ,16,8,sweep,8,17.61
DGZ,16,8,sweep,16,9.45
DGZ,16,8,sweep,32,6.33
DGZ,16,8,sweep,64,3.95
DGZ,16,8,sweep,128,2.88
DGZ,16,8,bj,1,144.91
DGZ,16,8,bj,2,75.41
DGZ,16,8,bj,4,37.09
DGZ,16,8,bj,8,20.94
DGZ,16,8,bj,16,13.41
DGZ,16,8,bj,32,10.60
DGZ,16,8,bj,64,7.87
DGZ,16,8,bj,128,6.73
DGZ,16,16,sweep,1,132.68
DGZ,16,16,sweep,2,67.79
DGZ,16,16,sweep,4,33.53
DGZ,16,16,sweep,8,17.77
DGZ,16,16,sweep,16,9.32
DGZ,16,16,sweep,32,5.86
DGZ,16,16,sweep,64,3.70
DGZ,16,16,sweep,128,2.82
DGZ,16,16,bj,1,154.12
DGZ,16,16,bj,2,82.59
DGZ,16,16,bj,4,41.22
DGZ,16,16,bj,8,24.89
DGZ,16,16,bj,16,18.55
DGZ,16,16,bj,32,15.96
DGZ,16,16,bj,64,12.52
DGZ,16,16,bj,128,11.06
DGZ,16,32,sweep,1,131.94
DGZ,16,32,sweep,2,68.74
DGZ,16,32,sweep,4,33.52
DGZ,16,32,sweep,8,18.10
DGZ,16,32,sweep,16,9.49
DGZ,16,32,sweep,32,5.83
DGZ,16,32,sweep,64,3.80
