layout,gset,dset,pmethod,n_process,time
DGZ,1,8,sweep,1,14.98
DGZ,1,8,bj,1,15.16
DGZ,1,16,sweep,1,15.18
DGZ,1,16,bj,1,15.24
DGZ,2,8,sweep,1,15.09
DGZ,2,8,bj,1,15.18
DGZ,2,16,sweep,1,15.12
DGZ,2,16,bj,1,15.21
DGZ,4,8,sweep,1,13.76
DGZ,4,8,bj,1,13.58
DGZ,4,16,sweep,1,14.03
DGZ,4,16,bj,1,14.93
DGZ,8,8,sweep,1,13.78
DGZ,8,8,bj,1,14.73
DGZ,8,16,sweep,1,13.82
DGZ,8,16,bj,1,16.51
DGZ,16,8,sweep,1,13.98
DGZ,16,8,bj,1,16.44
DGZ,16,16,sweep,1,14.07
DGZ,16,16,bj,1,17.66
DZG,1,8,sweep,1,16.27
DZG,1,8,bj,1,16.30
DZG,1,16,sweep,1,16.23
DZG,1,16,bj,1,15.90
DZG,2,8,sweep,1,17.12
DZG,2,8,bj,1,17.30
DZG,2,16,sweep,1,17.06
DZG,2,16,bj,1,17.45
DZG,4,8,sweep,1,17.68
DZG,4,8,bj,1,17.71
DZG,4,16,sweep,1,16.05
DZG,4,16,bj,1,16.85
DZG,8,8,sweep,1,20.27
DZG,8,8,bj,1,20.98
DZG,8,16,sweep,1,20.51
DZG,8,16,bj,1,21.11
DZG,16,8,sweep,1,22.98
DZG,16,8,bj,1,23.47
DZG,16,16,sweep,1,22.98
DZG,16,16,bj,1,23.55
DGZ,1,8,sweep,2,7.35
DGZ,1,8,bj,2,7.29
DGZ,1,16,sweep,2,4.14
DGZ,1,16,bj,2,4.14
DGZ,2,8,sweep,2,4.00
DGZ,2,8,bj,2,3.78
DGZ,2,16,sweep,2,4.02
DGZ,2,16,bj,2,4.10
DGZ,4,8,sweep,2,3.97
DGZ,4,8,bj,2,4.17
DGZ,4,16,sweep,2,4.15
DGZ,4,16,bj,2,4.25
DGZ,8,8,sweep,2,3.85
DGZ,8,8,bj,2,4.25
DGZ,8,16,sweep,2,4.05
DGZ,8,16,bj,2,4.28
DGZ,16,8,sweep,2,4.00
DGZ,16,8,bj,2,3.94
DGZ,16,16,sweep,2,4.02
DGZ,16,16,bj,2,4.51
DZG,1,8,sweep,2,4.39
DZG,1,8,bj,2,4.35
DZG,1,16,sweep,2,4.39
DZG,1,16,bj,2,4.89
DZG,2,8,sweep,2,5.17
DZG,2,8,bj,2,5.01
DZG,2,16,sweep,2,4.95
DZG,2,16,bj,2,5.16
DZG,4,8,sweep,2,4.95
DZG,4,8,bj,2,5.20
DZG,4,16,sweep,2,5.44
DZG,4,16,bj,2,6.18
DZG,8,8,sweep,2,7.29
DZG,8,8,bj,2,7.52
DZG,8,16,sweep,2,7.06
DZG,8,16,bj,2,7.64
DZG,16,8,sweep,2,7.69
DZG,16,8,bj,2,5.14
DZG,16,16,sweep,2,4.95
DZG,16,16,bj,2,5.18
DGZ,1,8,sweep,4,1.16
DGZ,1,8,bj,4,1.15
DGZ,1,16,sweep,4,0.83
DGZ,1,16,bj,4,0.84
DGZ,2,8,sweep,4,0.82
DGZ,2,8,bj,4,0.89
DGZ,2,16,sweep,4,0.86
DGZ,2,16,bj,4,0.88
DGZ,4,8,sweep,4,0.89
DGZ,4,8,bj,4,0.90
DGZ,4,16,sweep,4,0.89
DGZ,4,16,bj,4,0.94
DGZ,8,8,sweep,4,0.87
DGZ,8,8,bj,4,0.94
DGZ,8,16,sweep,4,0.86
DGZ,8,16,bj,4,0.99
DGZ,16,8,sweep,4,0.85
DGZ,16,8,bj,4,1.00
DGZ,16,16,sweep,4,0.88
DGZ,16,16,bj,4,1.13
DZG,1,8,sweep,4,0.96
DZG,1,8,bj,4,0.93
DZG,1,16,sweep,4,0.93
DZG,1,16,bj,4,0.88
DZG,2,8,sweep,4,0.95
DZG,2,8,bj,4,0.92
DZG,2,16,sweep,4,0.95
DZG,2,16,bj,4,0.98
DZG,4,8,sweep,4,1.00
DZG,4,8,bj,4,1.02
DZG,4,16,sweep,4,1.02
DZG,4,16,bj,4,1.06
DZG,8,8,sweep,4,1.18
DZG,8,8,bj,4,1.25
DZG,8,16,sweep,4,1.18
DZG,8,16,bj,4,1.38
DZG,16,8,sweep,4,1.45
DZG,16,8,bj,4,1.59
DZG,16,16,sweep,4,1.34
DZG,16,16,bj,4,1.57
