layout,gset,dset,pmethod,n_process,time
DGZ,1,8,sweep,1,15.29
DGZ,1,8,bj,1,15.27
DGZ,1,16,sweep,1,15.30
DGZ,1,16,bj,1,15.39
DGZ,2,8,sweep,1,15.05
DGZ,2,8,bj,1,15.26
DGZ,2,16,sweep,1,15.27
DGZ,2,16,bj,1,15.38
DGZ,4,8,sweep,1,13.73
DGZ,4,8,bj,1,14.46
DGZ,4,16,sweep,1,14.02
DGZ,4,16,bj,1,14.95
DGZ,8,8,sweep,1,13.75
DGZ,8,8,bj,1,15.03
DGZ,8,16,sweep,1,13.98
DGZ,8,16,bj,1,16.53
DGZ,16,8,sweep,1,14.02
DGZ,16,8,bj,1,16.54
DGZ,16,16,sweep,1,14.07
DGZ,16,16,bj,1,17.71
DZG,1,8,sweep,1,16.36
DZG,1,8,bj,1,16.45
DZG,1,16,sweep,1,16.21
DZG,1,16,bj,1,16.18
DZG,2,8,sweep,1,17.12
DZG,2,8,bj,1,17.36
DZG,2,16,sweep,1,17.08
DZG,2,16,bj,1,17.49
DZG,4,8,sweep,1,17.74
DZG,4,8,bj,1,17.77
DZG,4,16,sweep,1,16.26
DZG,4,16,bj,1,17.13
DZG,8,8,sweep,1,20.60
DZG,8,8,bj,1,21.15
DZG,8,16,sweep,1,20.69
DZG,8,16,bj,1,21.47
DZG,16,8,sweep,1,23.47
DZG,16,8,bj,1,23.85
DZG,16,16,sweep,1,23.47
DZG,16,16,bj,1,23.91
DGZ,1,8,sweep,2,7.30
DGZ,1,8,bj,2,7.38
DGZ,1,16,sweep,2,4.12
DGZ,1,16,bj,2,4.13
DGZ,2,8,sweep,2,3.25
DGZ,2,8,bj,2,3.95
DGZ,2,16,sweep,2,3.97
DGZ,2,16,bj,2,3.97
DGZ,4,8,sweep,2,4.01
DGZ,4,8,bj,2,4.46
DGZ,4,16,sweep,2,4.21
DGZ,4,16,bj,2,4.44
DGZ,8,8,sweep,2,4.22
DGZ,8,8,bj,2,4.46
DGZ,8,16,sweep,2,4.21
DGZ,8,16,bj,2,4.49
DGZ,16,8,sweep,2,4.44
DGZ,16,8,bj,2,4.65
DGZ,16,16,sweep,2,4.11
DGZ,16,16,bj,2,4.82
DZG,1,8,sweep,2,4.44
DZG,1,8,bj,2,4.78
DZG,1,16,sweep,2,4.06
DZG,1,16,bj,2,4.70
DZG,2,8,sweep,2,5.00
DZG,2,8,bj,2,5.03
DZG,2,16,sweep,2,5.01
DZG,2,16,bj,2,5.13
DZG,4,8,sweep,2,5.19
DZG,4,8,bj,2,5.11
DZG,4,16,sweep,2,6.04
DZG,4,16,bj,2,6.43
DZG,8,8,sweep,2,7.51
DZG,8,8,bj,2,7.61
DZG,8,16,sweep,2,7.50
DZG,8,16,bj,2,7.87
DZG,16,8,sweep,2,7.93
DZG,16,8,bj,2,5.15
DZG,16,16,sweep,2,4.94
DZG,16,16,bj,2,5.21
DGZ,1,8,sweep,4,0.99
DGZ,1,8,bj,4,0.96
DGZ,1,16,sweep,4,0.88
DGZ,1,16,bj,4,0.88
DGZ,2,8,sweep,4,0.89
DGZ,2,8,bj,4,0.85
DGZ,2,16,sweep,4,0.84
DGZ,2,16,bj,4,0.84
DGZ,4,8,sweep,4,0.83
DGZ,4,8,bj,4,0.85
DGZ,4,16,sweep,4,0.84
DGZ,4,16,bj,4,0.94
DGZ,8,8,sweep,4,0.87
DGZ,8,8,bj,4,0.91
DGZ,8,16,sweep,4,0.87
DGZ,8,16,bj,4,0.97
DGZ,16,8,sweep,4,0.85
DGZ,16,8,bj,4,0.96
DGZ,16,16,sweep,4,0.83
DGZ,16,16,bj,4,1.10
DZG,1,8,sweep,4,0.91
DZG,1,8,bj,4,0.92
DZG,1,16,sweep,4,0.90
DZG,1,16,bj,4,0.93
DZG,2,8,sweep,4,0.99
DZG,2,8,bj,4,1.00
DZG,2,16,sweep,4,0.93
DZG,2,16,bj,4,0.96
DZG,4,8,sweep,4,1.01
DZG,4,8,bj,4,1.09
DZG,4,16,sweep,4,1.08
DZG,4,16,bj,4,1.13
DZG,8,8,sweep,4,1.21
DZG,8,8,bj,4,1.26
DZG,8,16,sweep,4,1.18
DZG,8,16,bj,4,1.32
DZG,16,8,sweep,4,1.39
DZG,16,8,bj,4,1.46
DZG,16,16,sweep,4,1.35
DZG,16,16,bj,4,1.56
